R1i,R2i,R6i,R7i,R8i,R10i,R11i,R13i,R21i,R22i,R23i,R25i,R26i,R31i,T6i,T20i,R3r,R4,R5,R9,R12,R14,R15,R16,R17,R24,R27,R30,R32,T1r,T2r,T3,T4,T5,T7,T8,T9,T10,T11,T12,T13,T19,T21,T22
0,0,0,0,0,0,0,0,0,0,0,16,16,4,0,0,13,0,0,0,0,0,-28,0,-28,16,0,4,-28,0,0,4,13,13,-28,0,0,0,-16,-28,0,-28,0,0
0,0,0,0,0,0,0,0,0,0,0,16,16,4,0,0,13,0,0,0,0,0,-28,0,-28,16,0,4,-28,0,-28,4,13,13,0,0,0,0,-16,-28,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,16,16,4,0,0,9,0,0,0,0,0,-12,0,-12,16,16,4,-28,0,0,4,9,9,-12,0,0,16,0,-12,0,-12,0,0
0,0,0,0,0,0,0,0,0,0,0,16,16,4,0,0,9,0,0,0,0,0,-12,0,-12,16,16,4,-28,0,-12,4,9,9,0,0,0,16,0,-12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,2,2,0,2,0,0,0,0,2,0,4,9,1,-7,0,0,1,2,0,0,0,0,9,5,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,2,2,0,2,0,0,0,0,2,0,4,9,1,-7,0,2,1,2,0,-2,0,0,9,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,13,13,0,13,0,0,0,-27,13,-27,8,0,2,-14,0,0,2,13,0,-27,0,0,0,-8,-27,0,-14,0,0
0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,13,13,0,13,0,0,0,-27,13,-27,8,0,2,-14,0,-27,2,13,0,0,0,0,0,-8,-27,0,13,0,0
0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,13,13,0,13,0,0,0,-27,13,-27,8,0,2,-14,0,-14,2,13,0,-13,0,0,0,-8,-27,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,9,9,0,9,0,0,0,-15,9,-15,8,8,2,-14,0,0,2,9,0,-15,0,0,8,0,-15,0,-6,0,0
0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,3,3,0,3,0,0,0,-3,3,-3,4,7,1,-7,0,0,1,3,0,-3,0,0,7,3,-3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,9,9,0,9,0,0,0,-15,9,-15,8,8,2,-14,0,-15,2,9,0,0,0,0,8,0,-15,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,9,9,0,9,0,0,0,-15,9,-15,8,8,2,-14,0,-6,2,9,0,-9,0,0,8,0,-15,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,2,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-1,-1,0,2,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,-1,-1,0,3,0,0,-1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,-1,0,0,0,0,0,-1,0,0,-1,0,0,3,0,0,-1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,3,0,0,0,0,0,0,-1,2,0,0,3,3,2,0,3,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,3,0,0,0,2,0,0,-1,0,0,0,3,3,2,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,3,0,0,0,3,0,0,-1,-1,0,0,3,3,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-2,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,-1,0,0,0,2,2,0,0,2,0,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,-1,0,-2,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,1,-1,-2,0,0,2,2,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,-4,4,-4,0,0,0,0,0,0,0,3,-1,-4,0,0,0,0,-4,0,0,0,4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1,1,-1,0,0,0,0,0,-1,0,1,0,0,0,-1,0,0,-1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,-4,4,-4,0,0,0,0,0,-4,0,3,-1,0,0,0,0,0,-4,0,4,0,4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-2,1,-2,0,-1,0,0,0,0,0,1,0,-2,0,0,-1,-1,-2,0,-1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-2,1,-2,0,-1,0,0,0,-2,0,1,0,0,0,0,-1,-1,-2,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-2,1,-2,0,-1,0,0,0,-1,0,1,0,-1,0,0,-1,-1,-2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,3,4,4,1,0,0,3,0,3,0,0,0,0,3,0,4,10,1,-7,0,0,1,3,0,0,0,0,10,6,0,0,3,0,3
0,0,0,0,0,0,0,0,0,0,3,4,4,1,0,0,3,0,3,0,0,0,0,3,0,4,10,1,-7,0,3,1,3,0,-3,0,0,10,6,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,13,4,4,1,0,0,13,0,13,0,0,0,-20,13,-20,4,0,1,-7,0,0,1,13,0,-20,0,0,0,-4,-20,0,-7,0,13
0,0,0,0,0,0,0,0,0,0,13,4,4,1,0,0,13,0,13,0,0,0,-20,13,-20,4,0,1,-7,0,-20,1,13,0,0,0,0,0,-4,-20,0,13,0,13
0,0,0,0,0,0,0,0,0,0,13,4,4,1,0,0,13,0,13,0,0,0,-20,13,-20,4,0,1,-7,0,-7,1,13,0,-13,0,0,0,-4,-20,0,0,0,13
0,0,0,0,0,0,0,0,0,0,9,4,4,1,0,0,9,0,9,0,0,0,-12,9,-12,4,4,1,-7,0,0,1,9,0,-12,0,0,4,0,-12,0,-3,0,9
0,0,0,0,0,0,0,0,0,0,6,4,4,1,0,0,6,0,6,0,0,0,-6,6,-6,4,7,1,-7,0,0,1,6,0,-6,0,0,7,3,-6,0,0,0,6
0,0,0,0,0,0,0,0,0,0,9,4,4,1,0,0,9,0,9,0,0,0,-12,9,-12,4,4,1,-7,0,-12,1,9,0,0,0,0,4,0,-12,0,9,0,9
0,0,0,0,0,0,0,0,0,0,9,4,4,1,0,0,9,0,9,0,0,0,-12,9,-12,4,4,1,-7,0,-3,1,9,0,-9,0,0,4,0,-12,0,0,0,9
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,1,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,-2,-2,3,1,0,3,3,3,0,3,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,-2,-2,0,1,0,3,3,3,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,-5,0,-5,0,-5,0,0,0,0,0,0,0,-5,1,0,-5,-5,-5,0,-5,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,-5,0,-5,0,-5,0,0,0,-5,0,0,0,0,1,0,-5,-5,-5,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,2,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,-5,0,1,0,5,5,0,0,5,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,2,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,-5,-5,1,0,5,5,0,0,0,0,0
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,4,0,5,0,0,0,-5,5,-5,0,0,0,0,0,0,0,0,-5,-5,2,0,0,0,-5,0,0,0,0
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,4,0,5,0,0,0,-5,5,-5,0,0,0,0,0,-5,0,0,-5,0,2,0,0,0,-5,0,5,0,0
0,0,0,0,0,0,0,0,6,6,0,20,20,5,0,0,12,0,0,0,0,0,0,0,0,20,35,5,-35,0,0,5,0,0,0,6,0,35,15,0,0,0,0,0
