R1i,R2i,R6i,R7i,R8i,R10i,R11i,R13i,R28i,R31i,T6i,T20i,R3r,R4,R5,R9,R12,R14,R15,R16,R17,R24,R27,R30,R32,T1r,T2r,T3,T4,T5,T7,T9,T10,T11,T12,T13,T19
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,-1,3,1,1,0,-1,-1
0,0,0,0,0,0,4,4,0,0,0,0,-1,0,0,0,4,0,0,0,0,0,4,0,-4,0,0,0,3,3,-4,0,4,4,0,-4,-4
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,3,1,1,0,-1,0
0,0,0,0,0,0,4,4,0,0,0,0,-1,0,0,0,4,0,0,0,0,0,4,0,-4,0,-4,0,3,3,0,0,4,4,0,-4,0
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,-2,4,0,0,-1,-1,-2
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,0,-1,0,-1,0,0,0,-1,0,-2,0,0,0,0,4,0,0,-1,-1,0
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,0,1,0,1,0,2,0,-1,0,0,0,0,0,0,2,2,2,1,-1,0
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,0,3,0,3,0,4,0,-1,0,0,0,0,0,2,0,4,4,3,-1,2
0,0,0,0,0,0,2,2,0,0,0,0,-1,0,0,0,2,0,2,0,2,0,4,0,-2,0,0,0,1,1,0,0,4,4,2,-2,0
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,0,3,0,3,0,4,0,-1,0,2,0,0,0,0,0,4,4,3,-1,0
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,-1,0,0,0,0,0,-1,3,1,1,0,0,-1
0,0,0,0,0,0,4,4,0,0,0,0,-1,0,0,0,4,4,0,0,0,0,4,0,-4,0,0,0,3,3,-4,0,4,4,0,0,-4
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,-1,0,-1,0,0,0,0,3,1,1,0,0,0
0,0,0,0,0,0,4,4,0,0,0,0,-1,0,0,0,4,4,0,0,0,0,4,0,-4,0,-4,0,3,3,0,0,4,4,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,1,-1,0,-1,0,0,0,-1,0,0,0,0,0,-2,4,0,0,-1,0,-2
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,1,-1,0,-1,0,0,0,-1,0,-2,0,0,0,0,4,0,0,-1,0,0
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,1,1,0,1,0,2,0,-1,0,0,0,0,0,0,2,2,2,1,0,0
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,1,3,0,3,0,4,0,-1,0,0,0,0,0,2,0,4,4,3,0,2
0,0,0,0,0,0,2,2,0,0,0,0,-1,0,0,0,2,2,2,0,2,0,4,0,-2,0,0,0,1,1,0,0,4,4,2,0,0
0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,1,3,0,3,0,4,0,-1,0,2,0,0,0,0,0,4,4,3,0,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,-1,0,0,0,1,0,-1,0,2,2,0,-1,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,-1,0,-1,0,1,0,0,0,2,2,0,-1,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,-2,1,-2,0,0,0,-1,0,0,0,1,0,-3,2,0,0,-2,-1,-2
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,-2,1,-2,0,0,0,-1,0,-3,0,1,0,0,2,0,0,-2,-1,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,-2,1,-2,0,0,0,-1,0,-2,0,1,0,-1,2,0,0,-2,-1,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,3,0,-1,0,0,0,1,0,0,-1,3,3,1,-1,1
0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,1,0,1,2,1,0,4,0,-1,0,0,0,1,-1,0,0,4,4,1,-1,2
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,2,0,-1,0,0,0,1,0,-1,0,2,2,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,2,0,-1,0,-1,0,1,0,0,0,2,2,0,0,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,-2,1,-2,0,0,0,-1,0,0,0,1,0,-3,2,0,0,-2,0,-2
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,-2,1,-2,0,0,0,-1,0,-3,0,1,0,0,2,0,0,-2,0,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,-2,1,-2,0,0,0,-1,0,-2,0,1,0,-1,2,0,0,-2,0,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,3,0,-1,0,0,0,1,0,0,-1,3,3,1,0,1
0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,1,1,1,2,1,0,4,0,-1,0,0,0,1,-1,0,0,4,4,1,0,2
0,0,0,0,0,0,1,1,0,0,0,1,-1,0,1,0,1,0,0,1,0,0,2,0,-1,0,0,0,0,-1,-1,4,2,2,0,-1,0
0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,1,0,-3,2,-3,0,0,0,-1,0,0,0,2,0,-4,0,0,0,-3,-1,-2
0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,1,0,-3,2,-3,0,0,0,-1,0,-4,0,2,0,0,0,0,0,-3,-1,2
0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,1,0,-3,2,-3,0,0,0,-1,0,-2,0,2,0,-2,0,0,0,-3,-1,0
0,0,0,0,0,0,3,3,0,0,0,2,-1,0,2,0,3,0,3,2,3,0,8,0,-3,0,0,0,2,0,0,0,8,8,3,-3,2
0,0,0,0,0,0,1,1,0,0,0,1,-1,0,1,0,1,1,0,1,0,0,2,0,-1,0,0,0,0,-1,-1,4,2,2,0,0,0
0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,1,1,-3,2,-3,0,0,0,-1,0,0,0,2,0,-4,0,0,0,-3,0,-2
0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,1,1,-3,2,-3,0,0,0,-1,0,-4,0,2,0,0,0,0,0,-3,0,2
0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,1,1,-3,2,-3,0,0,0,-1,0,-2,0,2,0,-2,0,0,0,-3,0,0
0,0,0,0,0,0,3,3,0,0,0,2,-1,0,2,0,3,3,3,2,3,0,8,0,-3,0,0,0,2,0,0,0,8,8,3,0,2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,-1,1,1,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,-1,1,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0
0,0,0,0,0,4,0,0,0,0,0,0,-1,0,0,4,0,0,0,0,0,0,4,0,0,-4,0,0,-1,-1,4,0,4,4,0,0,4
0,0,0,0,0,4,0,0,0,0,0,0,-1,0,0,4,0,0,0,0,0,0,4,0,0,-4,4,0,-1,-1,0,0,4,4,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,-1,0,0,0,-1,1,0,2,2,0,0,2
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,-1,1,0,0,-1,0,0,2,2,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,-1,2,0,0,-1,-1,0,2,2,0,0,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,-1,-1,0,0,1,1,0,-2,2,2,0,-1,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,-1,-1,0,0,1,1,0,-2,2,2,0,0,0
0,0,0,0,0,1,1,1,0,0,0,0,-1,0,0,1,1,0,0,0,0,0,2,0,-1,-1,0,0,0,0,0,2,2,2,0,-1,0
0,0,0,0,0,3,1,1,0,0,0,0,-1,0,0,3,1,0,0,0,0,0,4,0,-1,-3,0,0,0,0,2,0,4,4,0,-1,2
0,0,0,0,0,2,2,2,0,0,0,0,-1,0,0,2,2,0,0,0,0,0,4,0,-2,-2,0,0,1,1,0,0,4,4,0,-2,0
0,0,0,0,0,3,1,1,0,0,0,0,-1,0,0,3,1,0,0,0,0,0,4,0,-1,-3,2,0,0,0,0,0,4,4,0,-1,0
0,0,0,0,0,1,1,1,0,0,0,0,-1,0,0,1,1,1,0,0,0,0,2,0,-1,-1,0,0,0,0,0,2,2,2,0,0,0
0,0,0,0,0,3,1,1,0,0,0,0,-1,0,0,3,1,1,0,0,0,0,4,0,-1,-3,0,0,0,0,2,0,4,4,0,0,2
0,0,0,0,0,2,2,2,0,0,0,0,-1,0,0,2,2,2,0,0,0,0,4,0,-2,-2,0,0,1,1,0,0,4,4,0,0,0
0,0,0,0,0,3,1,1,0,0,0,0,-1,0,0,3,1,1,0,0,0,0,4,0,-1,-3,2,0,0,0,0,0,4,4,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,3,0,-1,-1,0,0,1,0,0,-1,3,3,0,-1,1
0,0,0,0,0,1,1,1,0,0,0,2,0,0,2,1,1,0,0,2,0,0,4,0,-1,-1,0,0,1,-1,0,0,4,4,0,-1,2
0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,3,0,-1,-1,0,0,1,0,0,-1,3,3,0,0,1
0,0,0,0,0,1,1,1,0,0,0,2,0,0,2,1,1,1,0,2,0,0,4,0,-1,-1,0,0,1,-1,0,0,4,4,0,0,2
0,0,0,0,0,3,3,3,0,0,0,2,-1,0,2,3,3,0,0,2,0,0,8,0,-3,-3,0,0,2,0,0,0,8,8,0,-3,2
0,0,0,0,0,3,3,3,0,0,0,2,-1,0,2,3,3,3,0,2,0,0,8,0,-3,-3,0,0,2,0,0,0,8,8,0,0,2
0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,7,1,-7,8,0,1,0,0,-8,22,7,7,-8,0,-8
0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,7,1,-7,8,-8,1,0,0,0,22,7,7,-8,0,0
0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,15,1,-7,8,0,1,0,0,0,14,15,15,0,0,0
0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,-7,0,-15,0,0,1,-7,8,0,1,0,0,-15,29,0,0,-15,0,-15
0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,-7,0,-15,0,0,1,-7,8,-15,1,0,0,0,29,0,0,-15,0,0
0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,14,0,29,1,-7,8,0,1,0,0,14,0,29,29,14,0,14
0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,14,0,29,1,-7,8,14,1,0,0,0,0,29,29,14,0,0
0,0,0,0,16,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,-16,0,14,2,-14,16,0,2,11,11,-16,0,14,14,-16,0,-16
0,0,0,0,16,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,-16,0,14,2,-14,16,-16,2,11,11,0,0,14,14,-16,0,0
0,0,0,0,16,0,0,0,0,2,0,0,7,0,0,0,0,0,16,0,0,0,30,2,-14,16,0,2,7,7,0,0,30,30,0,0,0
0,0,0,0,32,0,0,0,0,4,0,0,29,0,0,0,0,0,-28,0,-60,0,0,4,-28,32,0,4,29,29,-60,0,0,0,-60,0,-60
0,0,0,0,32,0,0,0,0,4,0,0,29,0,0,0,0,0,-28,0,-60,0,0,4,-28,32,-60,4,29,29,0,0,0,0,-60,0,0
0,0,0,0,8,0,0,0,0,1,0,8,0,0,8,0,0,0,0,8,-8,0,15,1,-7,8,0,1,0,-8,-8,30,15,15,-8,0,0
0,0,0,0,24,0,0,0,0,3,0,22,22,0,22,0,0,0,0,22,-24,0,43,3,-21,24,0,3,22,0,-24,0,43,43,-24,0,-2
0,0,0,0,8,0,0,0,0,1,0,8,8,0,8,0,0,0,0,8,-8,0,15,1,-7,8,0,1,8,0,-8,-2,15,15,-8,0,0
0,0,0,0,16,0,0,0,0,2,0,16,15,0,16,0,0,0,0,16,-16,0,30,2,-14,16,0,2,15,-1,-16,0,30,30,-16,0,0
0,0,0,0,24,0,0,0,0,3,0,22,22,0,22,0,0,0,0,22,-24,0,43,3,-21,24,-24,3,22,0,0,0,43,43,-24,0,22
0,0,0,0,24,0,0,0,0,3,0,22,22,0,22,0,0,0,0,22,-24,0,43,3,-21,24,-2,3,22,0,-22,0,43,43,-24,0,0
0,0,0,0,24,0,0,0,0,3,0,14,14,0,14,0,0,0,24,14,0,0,59,3,-21,24,0,3,14,0,0,0,59,59,0,0,14
0,0,0,0,24,0,0,0,0,3,0,14,14,0,14,0,0,0,24,14,0,0,59,3,-21,24,14,3,14,0,-14,0,59,59,0,0,0
0,0,0,0,16,0,0,0,0,2,0,29,29,0,29,0,0,0,-43,29,-59,0,0,2,-14,16,0,2,29,0,-59,0,0,0,-59,0,-30
0,0,0,0,16,0,0,0,0,2,0,29,29,0,29,0,0,0,-43,29,-59,0,0,2,-14,16,-59,2,29,0,0,0,0,0,-59,0,29
0,0,0,0,16,0,0,0,0,2,0,29,29,0,29,0,0,0,-43,29,-59,0,0,2,-14,16,-30,2,29,0,-29,0,0,0,-59,0,0
0,0,0,0,8,0,0,0,0,1,0,7,7,0,7,0,0,0,1,7,-7,0,15,1,-7,8,0,1,7,0,-7,0,15,15,-7,0,0
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,-2,1,0,0,0,2,0,0,-1,-1,-2,5,0,1,-2,0,-2
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,-2,1,0,0,0,2,-2,0,-1,-1,0,5,0,1,-2,0,0
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,-1,0,2,0,0,1,2,0,0,2,0,0,-1,-1,0,3,2,3,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,-1,0,5,0,3,1,5,0,0,2,0,0,-1,-1,3,0,5,6,3,0,3
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,-3,1,-1,0,0,2,0,0,-1,-1,-3,6,-1,0,-3,0,-3
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,-1,0,5,0,3,1,5,0,0,2,3,0,-1,-1,0,0,5,6,3,0,0
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,-3,1,-1,0,0,2,-3,0,-1,-1,0,6,-1,0,-3,0,0
0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,0,-2,1,0,0,0,2,0,0,0,0,-2,1,0,1,-2,0,-2
0,0,0,0,8,0,0,0,4,0,0,0,5,0,0,0,-4,0,0,0,-8,4,0,0,0,8,0,0,1,1,-8,0,0,4,-8,0,-8
0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,0,-2,1,0,0,0,2,-2,0,0,0,0,1,0,1,-2,0,0
0,0,0,0,8,0,0,0,4,0,0,0,5,0,0,0,-4,0,0,0,-8,4,0,0,0,8,-8,0,1,1,0,0,0,4,-8,0,0
0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,-1,0,2,0,0,1,2,0,0,2,0,0,0,0,0,-1,2,3,0,0,0
0,0,0,0,8,0,0,0,4,0,0,0,3,0,0,0,-4,0,8,0,0,4,8,0,0,8,0,0,-1,-1,0,0,8,12,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,-1,0,1,0,-1,1,1,0,0,2,0,0,0,0,-1,0,1,2,-1,0,-1
0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,-1,0,-1,0,-3,1,-1,0,0,2,0,0,0,0,-3,2,-1,0,-3,0,-3
0,0,0,0,4,0,0,0,2,0,0,0,3,0,0,0,-2,0,-2,0,-6,2,-2,0,0,4,0,0,1,1,-6,0,-2,0,-6,0,-6
0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,-1,0,1,0,-1,1,1,0,0,2,-1,0,0,0,0,0,1,2,-1,0,0
0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,-1,0,-1,0,-3,1,-1,0,0,2,-3,0,0,0,0,2,-1,0,-3,0,0
0,0,0,0,4,0,0,0,2,0,0,0,3,0,0,0,-2,0,-2,0,-6,2,-2,0,0,4,-6,0,1,1,0,0,-2,0,-6,0,0
0,0,0,0,2,0,0,0,1,0,0,2,0,0,2,0,-1,0,0,2,-2,1,2,0,0,2,0,0,-1,-3,-2,7,2,3,-2,0,0
0,0,0,0,2,0,0,0,1,0,0,2,1,0,2,0,-1,0,0,2,-2,1,2,0,0,2,0,0,0,-2,-2,3,2,3,-2,0,0
0,0,0,0,6,0,0,0,3,0,0,1,4,0,1,0,-3,0,0,1,-6,3,1,0,0,6,0,0,1,0,-6,0,1,4,-6,0,-5
0,0,0,0,2,0,0,0,1,0,0,2,3,0,2,0,-1,0,0,2,-2,1,2,0,0,2,0,0,2,0,-2,-5,2,3,-2,0,0
0,0,0,0,8,0,0,0,4,0,0,8,7,0,8,0,-4,0,0,8,-8,4,8,0,0,8,0,0,3,-5,-8,0,8,12,-8,0,0
0,0,0,0,6,0,0,0,3,0,0,1,4,0,1,0,-3,0,0,1,-6,3,1,0,0,6,-6,0,1,0,0,0,1,4,-6,0,1
0,0,0,0,6,0,0,0,3,0,0,1,4,0,1,0,-3,0,0,1,-6,3,1,0,0,6,-5,0,1,0,-1,0,1,4,-6,0,0
0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,-1,0,2,1,0,1,3,0,0,2,0,0,0,-1,0,0,3,4,0,0,1
0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,-1,0,2,1,0,1,3,0,0,2,1,0,0,-1,-1,0,3,4,0,0,0
0,0,0,0,4,0,0,0,2,0,0,1,3,0,1,0,-2,0,-1,1,-5,2,0,0,0,4,0,0,1,0,-5,0,0,2,-5,0,-4
0,0,0,0,4,0,0,0,2,0,0,1,3,0,1,0,-2,0,-1,1,-5,2,0,0,0,4,-5,0,1,0,0,0,0,2,-5,0,1
0,0,0,0,4,0,0,0,2,0,0,1,3,0,1,0,-2,0,-1,1,-5,2,0,0,0,4,-4,0,1,0,-1,0,0,2,-5,0,0
0,0,0,0,4,0,0,0,2,0,0,1,2,0,1,0,-2,0,3,1,-1,2,4,0,0,4,0,0,0,-1,-1,0,4,6,-1,0,0
0,0,0,0,2,0,0,0,1,0,0,1,2,0,1,0,-1,0,-2,1,-4,1,-1,0,0,2,0,0,1,0,-4,0,-1,0,-4,0,-3
0,0,0,0,2,0,0,0,1,0,0,1,2,0,1,0,-1,0,-2,1,-4,1,-1,0,0,2,-4,0,1,0,0,0,-1,0,-4,0,1
0,0,0,0,2,0,0,0,1,0,0,1,2,0,1,0,-1,0,-2,1,-4,1,-1,0,0,2,-3,0,1,0,-1,0,-1,0,-4,0,0
0,0,0,0,36,0,0,0,14,1,0,0,14,0,0,0,-14,0,36,0,0,14,43,1,-7,36,0,1,0,0,0,0,43,57,0,0,0
0,0,0,0,8,0,22,22,0,1,0,0,0,0,0,0,22,0,0,0,-8,0,29,1,-29,8,0,1,22,22,-30,0,29,29,-8,-22,-30
0,0,0,0,8,0,22,22,0,1,0,0,0,0,0,0,22,0,0,0,-8,0,29,1,-29,8,-30,1,22,22,0,0,29,29,-8,-22,0
0,0,0,0,8,0,14,14,0,1,0,0,0,0,0,0,14,0,8,0,0,0,29,1,-21,8,0,1,14,14,-14,0,29,29,0,-14,-14
0,0,0,0,8,0,14,14,0,1,0,0,0,0,0,0,14,0,8,0,0,0,29,1,-21,8,-14,1,14,14,0,0,29,29,0,-14,0
0,0,0,0,8,0,7,7,0,1,0,0,0,0,0,0,7,0,15,0,7,0,29,1,-14,8,0,1,7,7,0,0,29,29,7,-7,0
0,0,0,0,8,0,22,22,0,1,0,0,0,0,0,0,22,22,0,0,-8,0,29,1,-29,8,0,1,22,22,-30,0,29,29,-8,0,-30
0,0,0,0,8,0,22,22,0,1,0,0,0,0,0,0,22,22,0,0,-8,0,29,1,-29,8,-30,1,22,22,0,0,29,29,-8,0,0
0,0,0,0,8,0,14,14,0,1,0,0,0,0,0,0,14,14,8,0,0,0,29,1,-21,8,0,1,14,14,-14,0,29,29,0,0,-14
0,0,0,0,8,0,14,14,0,1,0,0,0,0,0,0,14,14,8,0,0,0,29,1,-21,8,-14,1,14,14,0,0,29,29,0,0,0
0,0,0,0,8,0,7,7,0,1,0,0,0,0,0,0,7,7,15,0,7,0,29,1,-14,8,0,1,7,7,0,0,29,29,7,0,0
0,0,0,0,8,0,14,14,0,1,0,14,0,0,14,0,14,0,22,14,14,0,57,1,-21,8,0,1,14,0,0,0,57,57,14,-14,14
0,0,0,0,8,0,14,14,0,1,0,14,0,0,14,0,14,14,22,14,14,0,57,1,-21,8,0,1,14,0,0,0,57,57,14,0,14
